Age,Gender,Education,Income,Occupation,Ethnicity,Marital Status,Household Size,Num Children,State,Home Ownership
35, Male, Bachelor's Degree,75000, Software Engineer, Caucasian, Married,4,2, California, rent
34, Gender:Female, Education level:Bachelor's Degree,75000, Occupation:Marketing Specialist, Ethnicity:Asian, Marital status:Married,4,2, State of residence:California, Home ownership:own
38, Female, Bachelor's Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, own
35, Male, Bachelor's Degree,55000, Marketing Specialist, Caucasian, Married,4,2, California, Own
25, Male, Bachelor's Degree,65000, Marketing Specialist, Caucasian, Single,2,0, California, Rent
35,Female,Bachelor's Degree,70000,Teacher,Hispanic,Married,4,2,California,own
34, Female, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
35, Male, Bachelor's Degree,70000, Marketing Manager, Caucasian, Married,4,2, California, Own
30, Male, Bachelor's Degree,75000, Marketing Specialist, Hispanic, Married,4,2, California, rent
35, Female, Bachelor’s Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, own
35, Female, Bachelor's Degree,65000, Marketing Manager, Caucasian, Married,4,2, California, Own
25, Female, Bachelor's Degree,70000, Marketing Coordinator, Caucasian, Married,4,2, California, Rent
35,Male,Bachelor's degree,75000,Marketing Manager,Hispanic,Married,4,2,California,rent
35, Male, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Rent
33, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Rent
30, Female, Bachelor's Degree,60000, Teacher, Caucasian, Married,4,2, California, rent
32, Female, Bachelor's degree,60000, Marketing Manager, Hispanic, Married,4,2, California, rent
30, Female, Bachelor's,60000, Teacher, Hispanic, Married,4,2, California, own
34, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Own
45, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, own
35, Male, Bachelor's,75000, Marketing Manager, Caucasian, Married,4,2, California, own
35, Female, Bachelor's Degree,75000, Marketing Specialist, Hispanic, Married,4,2, California, own
35, Female, Bachelor's Degree,60000, Teacher, Caucasian, Married,4,2, California, Own
35, Female, Bachelor's degree,75000, Teacher, Hispanic, Married,4,2, California, own
30, Male, Bachelor's Degree,70000, Marketing Manager, Hispanic, Married,4,2, California, own
28, Male, Bachelor's Degree,60000, Teacher, Caucasian, Married,4,2, California, Rent
35, Female, Bachelor’s Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
35, Male, Bachelor's Degree,60000, Marketing Manager, Caucasian, Married,4,2, California, own
34, Female, Bachelor's,70000, Marketing Manager, Hispanic, Married,4,2, California, own
34, Female, Bachelor's degree,60000, Teacher, Hispanic, Married,4,2, California, own
35, Female, Bachelor's Degree,70000, Marketing Manager, Caucasian, Married,4,2, California, own
28, Female, Bachelor's,55000, Marketing Specialist, Hispanic, Married,4,2, California, rent
25,Male,Bachelor's Degree,60000,Engineer,Hispanic,Married,4,2,California,own
35, Female, Bachelor's Degree,75000, Teacher, Hispanic, Married,4,2, California, Rent
25, Male, Bachelor's Degree,65000, Marketing Specialist, Caucasian, Married,4,2, California, Rent
35, Female, Bachelor's,65000, Teacher, Hispanic, Married,4,2, California, rent
35, Male, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
34, Female, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
25, Female, Bachelor's degree,55000, Marketing Specialist, Caucasian, Single,2,0, California, Rent
28, Female, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, rent
30, Male, Bachelor's Degree,55000, Marketing Specialist, Caucasian, Married,4,2, California, rent
35, Gender: Female, Education level: Bachelor's Degree,75000, Occupation: Marketing Manager, Ethnicity: Hispanic, Marital status: Married,4,2, State of residence: California, Home ownership: Own
34, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, own
30, Male, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
35,Male,Bachelor's Degree,60000,Software Engineer,White,Married,4,2,California,Own
35, Male, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, own
29, Female, Bachelor's Degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, Rent
30, Female, Bachelor's Degree,70000, Marketing Manager, Hispanic, Married,4,2, California, own
25, Female, Bachelor's Degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, own
30, Female, Bachelor's Degree,50000, Teacher, Hispanic, Married,4,2, California, rent
35, Male, Bachelor's,75000, Teacher, Caucasian, Married,4,2, California, own
34, Female, Bachelor's Degree,65000, Marketing Manager, Hispanic, Married,4,2, California, Own
35,Male,Bachelor's Degree,75000,Software Engineer,Caucasian,Married,4,2,California,own
35, Male, Bachelor's Degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, Rent
34, Female, Bachelor's degree,70000, Marketing Manager, Hispanic, Married,4,2, California, own
29, Male, Bachelor's Degree,60000, Marketing Manager, Caucasian, Married,4,2, California, Rent
35, Male, Bachelor's,75000, Marketing Manager, Caucasian, Married,4,2, California, rent
35, Female, Bachelor's Degree,70000, Marketing Manager, Hispanic, Married,4,2, California, Own
25, Male, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
35, Female, Bachelor's Degree,75000, Marketing Specialist, Caucasian, Married,4,2, California, Own
34, Female, Bachelor's Degree,75000, Marketing Specialist, Hispanic, Married,4,2, California, own
29, Male, Bachelor's Degree,65000, Marketing Manager, Caucasian, Married,3,2, California, own
35, Female, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, own
25, Male, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
34, Female, Bachelor’s Degree,65000, Marketing Manager, Caucasian, Married,4,2, California, Own
25, Female, Bachelor's Degree,65000, Marketing Specialist, Hispanic, Single,2,0, California, Rent
30, Female, Bachelor's Degree,65000, Teacher, Hispanic, Married,4,2, CA, own
35, Gender: Female, Education level: Bachelor’s Degree,70000, Occupation: Marketing Manager, Ethnicity: Hispanic, Marital status: Married,4,2, State of residence: California, Home ownership: Own
32, Male, Bachelor’s Degree,60000, Marketing Manager, Caucasian, Married,4,2, California, Rent
25, Female, Bachelor's Degree,55000, Teacher, Hispanic, Married,4,2, California, Rent
30, Female, Bachelor's,75000, Teacher, Hispanic, Married,4,2, California, Rent
35, Female, Bachelor's Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, Own
32, Male, Bachelor's Degree,70000, Marketing Specialist, Hispanic, Married,4,2, California, Own
34, Female, Bachelor's,75000, Marketing Manager, Caucasian, Married,4,2, California, Rent
35, Male, Bachelor's degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Rent
35, Male, Bachelor's Degree,60000, Marketing Manager, Caucasian, Married,4,2, California, Own
32, Female, Bachelor's Degree,60000, Teacher, Hispanic, Married,4,2, California, Rent
35, Male, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Own
30, Female, Bachelor's Degree,75000, Teacher, Hispanic, Married,4,2, California, rent
30, Gender: Female, Education level: Bachelor’s Degree,60000, Occupation: Marketing Specialist, Ethnicity: Hispanic, Marital status: Married,4,2, State of residence: California, Home ownership: Own
32, Male, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Own
32, Female, Bachelor's Degree,75000, Marketing Specialist, Caucasian, Married,4,2, California, own
30, Male, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Own
29, Female, Bachelor's Degree,65000, Marketing Manager, Hispanic, Married,4,2, California, rent
35, Gender: Female, Education level: Bachelor’s,75000, Occupation: Teacher, Ethnicity: Hispanic, Marital status: Married,4,2, State of residence: CA, Home ownership: Own
29,Male,Bachelor's Degree,60000,Marketing Specialist,Hispanic,Married,4,2,California,own
45, Female, Bachelor's Degree,60000, Teacher, Caucasian, Married,4,2, California, Own
29, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Rent
32, Female, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
30, Female, Bachelor's,65000, Teacher, Hispanic, Married,4,2, California, Rent
35, Male, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, own
30, Female, Bachelor's Degree,70000, Teacher, Caucasian, Married,4,2, California, Rent
32, Gender:Female, Education level:Bachelor's,65000, Occupation:Teacher, Ethnicity:Hispanic, Marital status:Married,4,2, State of residence:California, Home ownership:own
35, Male, Bachelor's Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, Rent
29, Female, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
25, Male, Bachelor's degree,55000, Marketing Specialist, Hispanic, Single,3,1, California, rent
34, Female, Bachelor's Degree,75000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
25, Female, Bachelor’s Degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, Rent
35, Male, Bachelor's Degree,60000, Marketing Manager, Caucasian, Married,4,2, California, own
29, Female, Bachelor's Degree,65000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
35, Gender: Female, Education level: Bachelor's Degree,75000, Occupation: Teacher, Ethnicity: Hispanic, Marital status: Married,4,2, State of residence: California, Home ownership: own
25, Female, Bachelor's Degree,60000, Teacher, Hispanic, Married,4,2, California, Own
41, Female, Bachelor's Degree,75000, Teacher, Caucasian, Married,4,2, California, Own
35, Female, Bachelor's Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, own
32, Male, Bachelor's Degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, own
32, Female, Bachelor's Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, Rent
35, Male, Bachelor's Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, Rent
33, Female, Bachelor's Degree,65000, Teacher, Hispanic, Married,4,2, California, own
32, Female, Bachelor's Degree,60000, Teacher, Hispanic, Married,4,2, California, Rent
35, Female, Bachelor's Degree,60000, Teacher, Caucasian, Married,4,2, California, own
35, Female, Bachelor's Degree,60000, Teacher, Caucasian, Married,4,2, California, own
25, Female, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Single,2,1, California, rent
25, Female, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Single,2,1, California, rent
34, Female, Bachelor's Degree,75000, Marketing Specialist, Hispanic, Married,4,2, California, Own
30, Female, Bachelor's Degree,75000, Marketing Specialist, Hispanic, Married,4,2, California, own
29, Male, Bachelor's Degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, Rent
29, Female, Bachelor’s Degree,65000, Marketing Manager, Hispanic, Married,4,2, California, Rent
35, Male, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Own
32, Female, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, Own
35, Female, Bachelor's Degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, own
34,Female,Bachelor's Degree,45000,Accountant,Hispanic,Married,4,2,California,own
35, Female, Bachelor's Degree,75000, Teacher, Hispanic, Married,4,2, California, rent
29, Female, Bachelor's Degree,60000, Teacher, Hispanic, Married,3,1, California, Rent
35, Female, Bachelor’s Degree,60000, Teacher, Caucasian, Married,4,2, California, own
30, Female, Bachelor’s Degree,75000, Marketing Specialist, Caucasian, Married,4,2, California, Own
29, Female, Bachelor's Degree,55000, Teacher, Hispanic, Married,4,2, California, Rent
42, Male, Bachelor's Degree,75000, Teacher, Caucasian, Married,4,2, California, own
30, Gender:Female, Education level:Bachelor's Degree,60000, Occupation:Marketing Specialist, Ethnicity:Caucasian, Marital status:Married,4,2, State of residence:California, Home ownership:own
44, Female, Bachelor's Degree,75000, Teacher, Caucasian, Married,4,2, California, Own
34,Male,Bachelor's Degree,60000,Marketing Specialist,White,Married,4,2,California,own
35, Male, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, own
25, Male, Bachelor's Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, rent
25, Female, Bachelor’s degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
35, Male, Bachelor’s Degree,75000, Teacher, Caucasian, Married,4,2, California, Own
34, Female, Bachelor’s Degree,60000, Teacher, Hispanic, Married,4,2, California, own
30, Female, Bachelor's Degree,65000, Teacher, Hispanic, Married,4,2, California, Rent
25, Male, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
30, Female, Bachelor's Degree,55000, Marketing Specialist, Caucasian, Married,4,2, California, Rent
35, Female, Bachelor’s Degree,75000, Marketing Specialist, Hispanic, Married,4,2, California, Own
25, Male, Bachelor's Degree,60000, Sales Representative, Caucasian, Single,2,0, California, Rent
45, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, own
30, Female, Bachelor’s Degree,65000, Marketing Specialist, Caucasian, Married,3,2, California, Rent
34, Male, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Own
25, Male, Bachelor's Degree,55000, Marketing Specialist, Caucasian, Single,2,0, California, Rent
27, Female, Bachelor’s Degree,55000, Marketing Specialist, Caucasian, Married,3,2, California, Rent
35, Gender: Female, Education level: Bachelor's Degree,75000, Occupation: Marketing Manager, Ethnicity: Hispanic, Marital status: Married,4,2, State of residence: CA, Home ownership: own
35, Gender:Female, Education level:Bachelor's Degree,75000, Occupation:Marketing Manager, Ethnicity:Caucasian, Marital status:Married,4,2, State of residence:California, Home ownership:own
30, Female, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
32, Female, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
30, Female, Bachelor's Degree,75000, Teacher, Caucasian, Married,4,2, California, Own
34, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Rent
33, Female, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, own
34, Male, Bachelor's Degree,75000, Marketing Specialist, White, Married,4,2, California, Own
30, Gender: Female, Education level: Bachelor's Degree,75000, Occupation: Marketing Specialist, Ethnicity: Hispanic, Marital status: Married,4,2, State of residence: CA, Home ownership: own
35, Female, Bachelor's Degree,75000, Teacher, Caucasian, Married,4,2, California, Own
30, Gender: Female, Education level: Bachelor's Degree,75000, Occupation: Marketing Specialist, Ethnicity: Hispanic, Marital status: Married,4,2, State of residence: CA, Home ownership: own
35, Female, Bachelor’s Degree,65000, Marketing Manager, Hispanic, Married,4,2, California, own
30, Male, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, own
30, Female, Bachelor’s Degree,55000, Marketing Specialist, Hispanic, Married,4,2, California, own
30, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, rent
35, Female, Bachelor’s Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
29, Male, Bachelor's Degree,75000, Marketing Specialist, Caucasian, Married,4,2, California, own
35, Male, Bachelor's Degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, Rent
36, Female, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
25, Female, Bachelor's degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, Rent
34, Female, Bachelor's degree,75000, Marketing Manager, Hispanic, Married,4,2, California, own
35, Female, Bachelor's Degree,75000, Marketing Specialist, Hispanic, Married,4,2, California, own
34, Male, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
34, Female, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
28, Female, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
30, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Own
30, Female, Bachelor's Degree,55000, Marketing Specialist, Hispanic, Married,4,2, California, own
25, Male, Bachelor's Degree,55000, Marketing Specialist, Hispanic, Single,2,0, California, Rent
35, Female, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
35, Male, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
35, Male, Bachelor’s Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
35, Male, Bachelor's Degree,60000, Teacher, Hispanic, Married,4,2, California, Rent
30, Female, Bachelor's Degree,75000, Marketing Specialist, Caucasian, Married,4,2, California, Own
29, Female, Bachelor's Degree,55000, Marketing Specialist, Caucasian, Married,4,2, California, Own
35, Female, Bachelor's Degree,75000, Marketing Specialist, Caucasian, Married,4,2, California, own
35, Female, Bachelor's Degree,75000, Marketing Specialist, Caucasian, Married,4,2, California, rent
30, Female, Bachelor's Degree,55000, Marketing Manager, Hispanic, Married,4,2, California, Rent
34, Female, Bachelor's Degree,65000, Marketing Manager, White, Married,4,2, California, Rent
30, Gender:Female, Education level:Bachelor's Degree,60000, Occupation:Marketing Specialist, Ethnicity:Caucasian, Marital status:Married,4,2, State of residence:California, Home ownership:own
35,Male,Bachelor's,75000,Engineer,Caucasian,Married,4,2,California,own
35, Male, Bachelor's Degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, Own
34, Female, Bachelor's Degree,75000, Teacher, Caucasian, Married,4,2, California, Own
45, Female, Bachelor's Degree,60000, Teacher, Hispanic, Married,4,2, California, Own
25, Male, Bachelor's Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, Rent
35, Male, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, own
25, Male, Bachelor’s Degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, Own
25, Female, Bachelor's Degree,65000, Marketing Specialist, Hispanic, Single,2,0, California, Rent
25, Male, Bachelor's Degree,75000, Teacher, Hispanic, Married,3,2, California, Rent
30, Female, Bachelor's Degree,75000, Teacher, Caucasian, Married,4,2, California, Own
25, Male, Bachelor's Degree,60000, Teacher, Hispanic, Married,4,2, California, Own
35, Male, Bachelor’s Degree,70000, Marketing Specialist, Hispanic, Married,4,2, California, Own
34, Female, Bachelor's Degree,60000, Teacher, Hispanic, Married,4,2, California, Own
30, Female, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, Own
29, Male, Bachelor’s Degree,60000, Teacher, Hispanic, Married,4,2, California, Own
35, Male, Bachelor's Degree,60000, Marketing Manager, Caucasian, Married,4,2, California, Rent
30, Gender:Female, Education level:Bachelor's Degree,70000, Occupation:Marketing Specialist, Ethnicity:Asian, Marital status:Single,1,0, State of residence:California, Home ownership:Rent
35, Female, Bachelor's Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, own
30, Gender: Female, Education level: Bachelor's Degree,75000, Occupation: Marketing Manager, Ethnicity: Asian, Marital status: Married,4,2, State of residence: CA, Home ownership: Own
35, Gender:Female, Education level:Bachelor's,60000, Occupation:Marketing Manager, Ethnicity:Caucasian, Marital status:Married,4,2, State of residence:California, Home ownership:own
35, Female, Bachelor's,60000, Marketing Manager, Hispanic, Married,4,2, California, own
25, Female, Bachelor's Degree,60000, Teacher, Hispanic, Married,4,2, California, Rent
35, Female, Bachelor's Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, rent
30, Female, Bachelor's Degree,75000, Marketing Specialist, Hispanic, Married,4,2, California, own
35, Female, Bachelor's Degree,65000, Marketing Manager, Caucasian, Married,4,2, California, Own
35, Male, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
35, Male, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
29, Female, Bachelor's Degree,60000, Teacher, Caucasian, Married,4,2, California, Rent
35, Female, Bachelor’s Degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, Own
35, Male, Bachelor's degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, own
30, Female, Bachelor's Degree,75000, Marketing Specialist, Caucasian, Married,4,2, CA, own
32, Female, Bachelor's Degree,75000, Marketing Specialist, Hispanic, Married,4,2, California, rent
35, Gender: Female, Education level: Bachelor's Degree,75000, Occupation: Marketing Manager, Ethnicity: Hispanic, Marital status: Married,4,2, State of residence: California, Home ownership: Own
34, Female, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
35, Female, Bachelor’s Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, Rent
32, Female, Bachelor's Degree,65000, Marketing Specialist, Hispanic, Married,4,2, California, Own
34, Male, Bachelor's Degree,75000, Teacher, Caucasian, Married,4,2, California, Own
29, Male, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, own
35, Male, Bachelor's,60000, Teacher, Hispanic, Married,4,2, California, own
33, Female, Bachelor's Degree,65000, Marketing Specialist, Hispanic, Married,4,2, California, Own
30, Gender:Female, Education level:Bachelor's,75000, Occupation:Marketing Specialist, Ethnicity:White, Marital status:Married,4,2, State of residence:California, Home ownership:own
35, Male, Bachelor's degree,60000, Teacher, Hispanic, Married,4,2, California, Rent
30, Female, Bachelor's degree,75000, Marketing Manager, Caucasian, Married,4,2, California, own
35, Female, Bachelor's Degree,65000, Marketing Manager, Hispanic, Married,4,2, California, Own
35, Female, Bachelor's Degree,60000, Marketing Manager, Caucasian, Married,4,2, California, Rent
30, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, own
25, Female, Bachelor's Degree,60000, Marketing Manager, Caucasian, Married,4,2, California, rent
35, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, own
35, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Own
25, Female, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, rent
45, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Rent
25, Female, Bachelor's Degree,60000, Marketing Specialist, Caucasian, Married,3,1, California, own
25, Male, Bachelor's degree,60000, Marketing Specialist, Caucasian, Single,2,1, California, Rent
35, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Rent
35, Female, Bachelor's Degree,75000, Marketing Specialist, Caucasian, Married,4,2, California, Rent
35, Male, Bachelor's Degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, Rent
35, Female, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
35, Male, Bachelor's,60000, Teacher, Hispanic, Married,4,2, California, Rent
30, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, own
32, Female, Bachelor's Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, Rent
29, Female, Bachelor's Degree,65000, Marketing Specialist, Caucasian, Married,4,2, California, Own
45, Female, Bachelor's Degree,55000, Marketing Specialist, Hispanic, Married,4,2, California, Own
35, Male, Bachelor's Degree,80000, Marketing Manager, Caucasian, Married,4,2, California, Own
30, Female, Bachelor's Degree,60000, Teacher, Caucasian, Married,4,2, California, Rent
35, Female, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
30,"""Female""","""Bachelor's degree""",80000,"""Marketing Specialist""","""Caucasian""","""Married""",4,2,"""California""","""own"""
25, Female, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Single,2,0, California, Rent
35, Female, Bachelor's Degree,75000, Teacher, Hispanic, Married,4,2, California, own
34, Female, Bachelor's,75000, Marketing Specialist, Hispanic, Married,4,2, California, own
25, Male, Bachelor's degree,60000, Marketing Specialist, Caucasian, Single,3,0, California, Rent
35, Female, Bachelor's Degree,60000, Marketing Manager, Hispanic, Married,4,2, California, own
30, Male, Bachelor’s Degree,70000, Marketing Manager, Hispanic, Married,4,2, California, rent
32, Male, Bachelor's,85000, Marketing Manager, Hispanic, Married,4,2, California, Own
45, Female, Bachelor's Degree,75000, Teacher, Hispanic, Married,4,2, California, Own
30, Gender:Female, Education level:Bachelor's,65000, Occupation:Marketing Specialist, Ethnicity:Hispanic, Marital status:Married,4,2, State of residence:California, Home ownership:own
29, Male, Bachelor's Degree,60000, Teacher, Hispanic, Married,4,2, California, own
29, Male, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
36, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, own
35, Female, Bachelor's Degree,70000, Marketing Manager, Caucasian, Married,4,2, California, Own
30, Male, Bachelor's Degree,75000, Teacher, Caucasian, Married,4,2, California, own
35, Male, Bachelor's Degree,60000, Teacher, Hispanic, Married,4,2, California, own
34, Gender: Female, Education level: Bachelor's Degree,75000, Occupation: Teacher, Ethnicity: Hispanic, Marital status: Married,4,2, State of residence: California, Home ownership: Own
30, Female, Bachelor's Degree,55000, Marketing Specialist, Hispanic, Married,4,2, California, own
35, Male, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
35, Male, Bachelor's Degree,75000, Marketing Manager, White, Married,4,2, California, Own
35, Female, Bachelor's Degree,55000, Marketing Manager, Hispanic, Married,4,2, California, Rent
35, Female, Bachelor's Degree,75000, Marketing Specialist, Caucasian, Married,4,2, California, own
35, female, Bachelor's degree,60000, Teacher, Caucasian, married,4,2, California, own
34, Female, Bachelor's Degree,65000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
35, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, Own
35, Female, Bachelor’s Degree,65000, Teacher, Hispanic, Married,4,2, California, Own
35, Female, Bachelor's Degree,55000, Teacher, Hispanic, Married,4,2, California, Rent
30, Female, Bachelor's Degree,65000, Marketing Manager, Hispanic, Married,4,2, California, Rent
